Channel Title,Channel Username,ID,Message,Date,Media Path
SINA KIDS/ሲና ኪድስⓇ,@sinayelj,14844,ክቡራን ደምበኞቻችን ዛሬ ገርጂ እና ብስራተ ገብሬል የሚገኘው ሱቃችን ሙሉ ቀን ክፍት መሆኑን ስንገልፅ በታላቅ አክብሮት ነው 🙏,2024-09-27 08:02:52+00:00,photos\@sinayelj_14844.jpg
SINA KIDS/ሲና ኪድስⓇ,@sinayelj,14843,ለመላው የክርስትና እምነት ተከታዮች በሙሉ እንኳን ለመስቀል ደመራ በዓል በሰላም አደረሳችሁ እያልን፤በዓሉ የሰላምና የጤና እንዲሆንላቹ  ምኞታችንን እንገልፃለን    SINA KIDS/ሲና ኪድስⓇ,2024-09-27 07:38:57+00:00,photos\@sinayelj_14843.jpg
SINA KIDS/ሲና ኪድስⓇ,@sinayelj,14841,,2024-09-26 12:24:51+00:00,photos\@sinayelj_14841.jpg
SINA KIDS/ሲና ኪድስⓇ,@sinayelj,14840,,2024-09-26 12:24:51+00:00,photos\@sinayelj_14840.jpg
SINA KIDS/ሲና ኪድስⓇ,@sinayelj,14839,"ለኮንዶሚኒየም ለጠባብ ቤቶች ገላግሌ የሆነ ከንፁህ የሲልከን ጥሬ እቃ የተሰራ የልጆች ማጠቢያ  ምስሉ ላይ እንደሚያዩት መታጠፍ መዘርጋት የሚችል   3350ብር   ይደውሉልን እርሶ መምጣት ባይመቾ እኛ ያሉበት ድረስ እናደርስሎታለን ስልክ 0905707448 0909003864 ሲና የተመረጡና ጥራታቸውን የጠበቁ የልጆች እቃ አስመጪ 


0909003864
0905707448  

እቃ ለማዘዝ ከስር ያለውን ሊንኮች በመጫን ማዘዝ ትችላላቹ  

@sinasinaye

@sinayalj2

አድራሻ

 1️⃣ቁጥር1 ገርጂ ኢምፔሪያል ከሳሚ ህንፃ ጎን አልፎዝ ፕላዛ ግራውንድ ላይ እንደገቡ ያገኙናል

2️⃣ቁጥር2 4ኪሎ ቅድስት ስላሴ ህንፃ ማለትም ከብልፅግና ዋናፅፈት ቤት ህንፃ በስተ ቀኝ ባለው አስፓልት 20ሜትር ዝቅ እንዳሉ ሀበሻ ኮፊ የሚገኝበት ቀይ ሸክላ ህንፃ 2ተኛ ፎቅ ላይ ያገኙናል

3️⃣ቁጥር3 ብስራተ ገብርኤል ላፍቶ ሞል መግቢያው ፊት ለፊት የሚገኘው የብስራተ ገብርኤል ቤተ ክርስቲያን ህንፃ አንደኛ ፎቅ ላይ ደረጃ እንደወጣቹ በስተግራ በኩል ሱቅ ቁጥር FF-09

ክቡራን ደምበኞቻችን ገርጂ አልፎዝ ፕላዛ ላይ አራት ኪሎ ቅድስት ስላሴ እንዲሁም ብስራተ ገብሬል ያሉት ሱቆቻችን ሲመጡ  አስተማማኝ ሰፊ ፓርኪንግ ያላቸው መሆናቸውን በታላቅ ደስታ እናበስራለን🙏🙏🙏",2024-09-26 12:24:51+00:00,photos\@sinayelj_14839.jpg
SINA KIDS/ሲና ኪድስⓇ,@sinayelj,14838,,2024-09-26 12:24:12+00:00,photos\@sinayelj_14838.jpg
SINA KIDS/ሲና ኪድስⓇ,@sinayelj,14837,,2024-09-26 12:24:12+00:00,photos\@sinayelj_14837.jpg
SINA KIDS/ሲና ኪድስⓇ,@sinayelj,14836,,2024-09-26 12:24:11+00:00,photos\@sinayelj_14836.jpg
SINA KIDS/ሲና ኪድስⓇ,@sinayelj,14835,"Baby romper   ከላዩ ፈር ውስጡ ኮተን የሆነ

2000 birr

Free delivery 

0909003864
0905707448  

እቃ ለማዘዝ ከስር ያለውን ሊንኮች በመጫን ማዘዝ ትችላላቹ  

@sinasinaye

@sinayalj2

አድራሻ

 1️⃣ቁጥር1 ገርጂ ኢምፔሪያል ከሳሚ ህንፃ ጎን አልፎዝ ፕላዛ ግራውንድ ላይ እንደገቡ ያገኙናል

2️⃣ቁጥር2 4ኪሎ ቅድስት ስላሴ ህንፃ ማለትም ከብልፅግና ዋናፅፈት ቤት ህንፃ በስተ ቀኝ ባለው አስፓልት 20ሜትር ዝቅ እንዳሉ ሀበሻ ኮፊ የሚገኝበት ቀይ ሸክላ ህንፃ 2ተኛ ፎቅ ላይ ያገኙናል

3️⃣ቁጥር3 ብስራተ ገብርኤል ላፍቶ ሞል መግቢያው ፊት ለፊት የሚገኘው የብስራተ ገብርኤል ቤተ ክርስቲያን ህንፃ አንደኛ ፎቅ ላይ ደረጃ እንደወጣቹ በስተግራ በኩል ሱቅ ቁጥር FF-09

ክቡራን ደምበኞቻችን ገርጂ አልፎዝ ፕላዛ ላይ እንዲሁም አራት ኪሎ ቅድስት ስላሴ in ህንፃ ላይ ያሉት ብራንቾቻችን ላይ እቃ ለመግዛት ሲመጡ አስተማማኝ ሰፊ ፓርኪንግ ያለው ጊቢ ያላቸው ህንፃዎች መሆናቸውን በታላቅ ደስታ እናበስራለን🙏🙏🙏",2024-09-26 12:24:11+00:00,photos\@sinayelj_14835.jpg
SINA KIDS/ሲና ኪድስⓇ,@sinayelj,14834,,2024-09-26 12:20:22+00:00,photos\@sinayelj_14834.jpg
